# This is the output from an Icon program which generates all the possible 
# variants of the name of the famous swedish author Henning Mankell, matching 
# the regular expression  
#
#      [HM][ea](nk|n|nn)(ing|ell|all)
# 
# The Icon program is here:
#
# http://www.hakank.org/unicon/pattern_generation.icn
#
#
# For more on this, please see the following texts
#
# http://www.hakank.org/webblogg/archives/000650.html
# http://www.hakank.org/webblogg/archives/000651.html
#
# (These comments was manually added.)
#
Generated names:
Hanking Menell
Hanking Menall
Hanking Menning
Hanking Mennell
Hanking Mennall
Hanking Manking
Hanking Mankell
Hanking Mankall
Hanking Maning
Hanking Manell
Hanking Manall
Hanking Manning
Hanking Mannell
Hanking Mannall
Hankell Menking
Hankell Menkell
Hankell Menkall
Hankell Mening
Hankell Menell
Hankell Menall
Hankell Menning
Hankell Mennell
Hankell Mennall
Hankell Manking
Hankell Mankell
Hankell Mankall
Hankell Maning
Hankell Manell
Hankell Manall
Hankell Manning
Hankell Mannell
Hankell Mannall
Hankall Menking
Hankall Menkell
Hankall Menkall
Hankall Mening
Hankall Menell
Hankall Menall
Hankall Menning
Hankall Mennell
Hankall Mennall
Hankall Manking
Hankall Mankell
Hankall Mankall
Hankall Maning
Hankall Manell
Hankall Manall
Hankall Manning
Hankall Mannell
Hankall Mannall
Haning Menking
Haning Menkell
Haning Menkall
Haning Mening
Haning Menell
Haning Menall
Haning Menning
Haning Mennell
Haning Mennall
Haning Manking
Haning Mankell
Haning Mankall
Haning Maning
Haning Manell
Haning Manall
Haning Manning
Haning Mannell
Haning Mannall
Hanell Menking
Hanell Menkell
Hanell Menkall
Hanell Mening
Hanell Menell
Hanell Menall
Hanell Menning
Hanell Mennell
Hanell Mennall
Hanell Manking
Hanell Mankell
Hanell Mankall
Hanell Maning
Hanell Manell
Hanell Manall
Hanell Manning
Hanell Mannell
Hanell Mannall
Hanall Menking
Hanall Menkell
Hanall Menkall
Hanall Mening
Hanall Menell
Hanall Menall
Hanall Menning
Hanall Mennell
Hanall Mennall
Hanall Manking
Hanall Mankell
Hanall Mankall
Hanall Maning
Hanall Manell
Hanall Manall
Hanall Manning
Hanall Mannell
Hanall Mannall
Hanning Menking
Hanning Menkell
Hanning Menkall
Hanning Mening
Hanning Menell
Hanning Menall
Hanning Menning
Hanning Mennell
Hanning Mennall
Hanning Manking
Hanning Mankell
Hanning Mankall
Hanning Maning
Hanning Manell
Hanning Manall
Hanning Manning
Hanning Mannell
Hanning Mannall
Hannell Menking
Hannell Menkell
Hannell Menkall
Hannell Mening
Hannell Menell
Hannell Menall
Hannell Menning
Hannell Mennell
Hannell Mennall
Hannell Manking
Hannell Mankell
Hannell Mankall
Hannell Maning
Hannell Manell
Hannell Manall
Hannell Manning
Hannell Mannell
Hannell Mannall
Hannall Menking
Hannall Menkell
Hannall Menkall
Hannall Mening
Hannall Menell
Hannall Menall
Hannall Menning
Hannall Mennell
Hannall Mennall
Hannall Manking
Hannall Mankell
Hannall Mankall
Hannall Maning
Hannall Manell
Hannall Manall
Hannall Manning
Hannall Mannell
Hannall Mannall
Menking Henking
Menking Henkell
Menking Henkall
Menking Hening
Menking Henell
Menking Henall
Menking Henning
Menking Hennell
Menking Hennall
Menking Hanking
Menking Hankell
Menking Hankall
Menking Haning
Menking Hanell
Menking Hanall
Menking Hanning
Menking Hannell
Menking Hannall
Menkell Henking
Menkell Henkell
Menkell Henkall
Menkell Hening
Menkell Henell
Menkell Henall
Menkell Henning
Menkell Hennell
Menkell Hennall
Menkell Hanking
Menkell Hankell
Menkell Hankall
Menkell Haning
Menkell Hanell
Menkell Hanall
Menkell Hanning
Menkell Hannell
Menkell Hannall
Menkall Henking
Menkall Henkell
Menkall Henkall
Menkall Hening
Menkall Henell
Menkall Henall
Menkall Henning
Menkall Hennell
Menkall Hennall
Menkall Hanking
Menkall Hankell
Menkall Hankall
Menkall Haning
Menkall Hanell
Menkall Hanall
Menkall Hanning
Menkall Hannell
Menkall Hannall
Mening Henking
Mening Henkell
Mening Henkall
Mening Hening
Mening Henell
Mening Henall
Mening Henning
Mening Hennell
Mening Hennall
Mening Hanking
Mening Hankell
Mening Hankall
Mening Haning
Mening Hanell
Mening Hanall
Mening Hanning
Mening Hannell
Mening Hannall
Menell Henking
Menell Henkell
Menell Henkall
Menell Hening
Menell Henell
Menell Henall
Menell Henning
Menell Hennell
Menell Hennall
Menell Hanking
Menell Hankell
Menell Hankall
Menell Haning
Menell Hanell
Menell Hanall
Menell Hanning
Menell Hannell
Menell Hannall
Menall Henking
Menall Henkell
Menall Henkall
Menall Hening
Menall Henell
Menall Henall
Menall Henning
Menall Hennell
Menall Hennall
Menall Hanking
Menall Hankell
Menall Hankall
Menall Haning
Menall Hanell
Menall Hanall
Menall Hanning
Menall Hannell
Menall Hannall
Menning Henking
Menning Henkell
Menning Henkall
Menning Hening
Menning Henell
Menning Henall
Menning Henning
Menning Hennell
Menning Hennall
Menning Hanking
Menning Hankell
Menning Hankall
Menning Haning
Menning Hanell
Menning Hanall
Menning Hanning
Menning Hannell
Menning Hannall
Mennell Henking
Mennell Henkell
Mennell Henkall
Mennell Hening
Mennell Henell
Mennell Henall
Mennell Henning
Mennell Hennell
Mennell Hennall
Mennell Hanking
Mennell Hankell
Mennell Hankall
Mennell Haning
Mennell Hanell
Mennell Hanall
Mennell Hanning
Mennell Hannell
Mennell Hannall
Mennall Henking
Mennall Henkell
Mennall Henkall
Mennall Hening
Mennall Henell
Mennall Henall
Mennall Henning
Mennall Hennell
Mennall Hennall
Mennall Hanking
Mennall Hankell
Mennall Hankall
Mennall Haning
Mennall Hanell
Mennall Hanall
Mennall Hanning
Mennall Hannell
Mennall Hannall
Manking Henking
Manking Henkell
Manking Henkall
Manking Hening
Manking Henell
Manking Henall
Manking Henning
Manking Hennell
Manking Hennall
Manking Hanking
Manking Hankell
Manking Hankall
Manking Haning
Manking Hanell
Manking Hanall
Manking Hanning
Manking Hannell
Manking Hannall
Mankell Henking
Mankell Henkell
Mankell Henkall
Mankell Hening
Mankell Henell
Mankell Henall
Mankell Henning
Mankell Hennell
Mankell Hennall
Mankell Hanking
Mankell Hankell
Mankell Hankall
Mankell Haning
Mankell Hanell
Mankell Hanall
Mankell Hanning
Mankell Hannell
Mankell Hannall
Mankall Henking
Mankall Henkell
Mankall Henkall
Mankall Hening
Mankall Henell
Mankall Henall
Mankall Henning
Mankall Hennell
Mankall Hennall
Mankall Hanking
Mankall Hankell
Mankall Hankall
Mankall Haning
Mankall Hanell
Mankall Hanall
Mankall Hanning
Mankall Hannell
Mankall Hannall
Maning Henking
Maning Henkell
Maning Henkall
Maning Hening
Maning Henell
Maning Henall
Maning Henning
Maning Hennell
Maning Hennall
Maning Hanking
Maning Hankell
Maning Hankall
Maning Haning
Maning Hanell
Maning Hanall
Maning Hanning
Maning Hannell
Maning Hannall
Manell Henking
Manell Henkell
Manell Henkall
Manell Hening
Manell Henell
Manell Henall
Manell Henning
Manell Hennell
Manell Hennall
Manell Hanking
Manell Hankell
Manell Hankall
Manell Haning
Manell Hanell
Manell Hanall
Manell Hanning
Manell Hannell
Manell Hannall
Manall Henking
Manall Henkell
Manall Henkall
Manall Hening
Manall Henell
Manall Henall
Manall Henning
Manall Hennell
Manall Hennall
Manall Hanking
Manall Hankell
Manall Hankall
Manall Haning
Manall Hanell
Manall Hanall
Manall Hanning
Manall Hannell
Manall Hannall
Manning Henking
Manning Henkell
Manning Henkall
Manning Hening
Manning Henell
Manning Henall
Manning Henning
Manning Hennell
Manning Hennall
Manning Hanking
Manning Hankell
Manning Hankall
Manning Haning
Manning Hanell
Manning Hanall
Manning Hanning
Manning Hannell
Manning Hannall
Mannell Henking
Mannell Henkell
Mannell Henkall
Mannell Hening
Mannell Henell
Mannell Henall
Mannell Henning
Mannell Hennell
Mannell Hennall
Mannell Hanking
Mannell Hankell
Mannell Hankall
Mannell Haning
Mannell Hanell
Mannell Hanall
Mannell Hanning
Mannell Hannell
Mannell Hannall
Mannall Henking
Mannall Henkell
Mannall Henkall
Mannall Hening
Mannall Henell
Mannall Henall
Mannall Henning
Mannall Hennell
Mannall Hennall
Mannall Hanking
Mannall Hankell
Mannall Hankall
Mannall Haning
Mannall Hanell
Mannall Hanall
Mannall Hanning
Mannall Hannell
Mannall Hannall

648 generated names
600 names not in list
48 names in list

Checking the other way:
0 names in the site's list was not in the generated list
