- Steffen Lange
+ Pat Langley
+ Mary Soon Lee
+ Wee Sun Lee
+ Moshe Leshno
+ Long-Ji Lin
- Charles X. Ling
+ Michael Littman
+ David Loewenstern
- Phil Long
+ Wolfgang Maass
- Bruce A. MacDonald
+ Rich Maclin
- Sridhar Mahadevan
- J. Jeffrey Mahoney
+ Yishay Mansour
+ Mario Marchand
- Shaul Markovitch
- Oded Maron
+ Maja Mataric
+ David Mathias
+ Toshiyasu Matsushima
- Stan Matwin
- Eddy Mayoraz
- R. Andrew McCallum
- L. Thorne McCarty
- Alexander M. Meystel
+ Michael A. meystel
- Steven Minton
+ Nina Mishra
+ Tom M. Mitchell
+ Dunja Mladenic
+ David Montgomery
- Andrew W. Moore
+ Johanne Morin
+ Hiroshi Motoda
- Stephen Muggleton
+ Patrick M. Murphy
- Sreerama K. Murthy
+ Filippo Neri
- Craig Nevill-Manning
- Andrew Y. Ng
+ Nikolay Nikolaev
- Steven W. Norton
+ Joseph O'Sullivan
+ Dan Oblinger
+ Jong-Hoon Oh
- Arlindo Oliveira
+ David W. Opitz
+ Sandra Panizza
+ Barak A. Pearlmutter
- Ed Pednault
+ Jing Peng
+ Fernando Pereira
+ Aurora Perez
+ Bernhard Pfahringer
+ David Pierce
- Krishnan Pillaipakkamnatt
+ Roberto Piola
+ Leonard Pitt
+ Lorien Y. Pratt
- Armand Prieditis
+ Foster J. Provost
- J. R. Quinlan
+ John Rachlin
+ Vijay Raghavan
- R. Bharat Rao
- Priscilla Rasmussen
+ Joel Ratsaby
+ Michael Redmond
+ Patricia J. Riddle
+ Lance Riley
+ Ronald L. Rivest
+ Huw Roberts
+ Dana Ron
+ Robert S. Roos
+ Justinian Rosca
+ John R. Rose
+ Dan Roth
+ James S. Royer
+ Ronitt Rubinfeld
- Stuart Russell
+ Lorenza Saitta
+ Yoshifumi Sakai
+ William Sakas
+ Marcos Salganicoff
- Steven Salzberg
- Claude Sammut
+ Cullen Schaffer
+ Robert Schapire
+ Mark Schwabacher
+ Michele Sebag
+ Gary M. Selzer
+ Sebastian Seung
- Arun Sharma
+ Jude Shavlik
+ Daniel L. Silver
- Glenn Silverstein
+ Yoram Singer
+ Mona Singh
+ Satinder Pal Singh
+ Kimmen Sjolander
+ David B. Skalak
+ Sean Slattery
+ Robert Sloan
+ Donna Slonim
+ Carl H. Smith
+ Sonya Snedecor
+ Von-Wun Soo
- Thomas G. Spalthoff
+ Mark Staley
- Frank Stephan
+ Mandayam T. Suraj
+ Richard S. Sutton
+ Joe Suzuki
- Prasad Tadepalli
+ Hiroshi Tanaka
- Irina Tchoumatchenko
- Brian Tester
- Chen K. Tham
+ Tatsuo Unemi
- Lyle H. Ungar
+ Paul Utgoff
+ Karsten Verbeurgt
+ Paul Vitanyi
+ Xuemei Wang
+ Manfred Warmuth
+ Gary Weiss
- Sholom Weiss
- Thomas Wengerek
- Bradley L. Whitehall
- Alma Whitten
+ Robert Williamson
+ Janusz Wnek
+ Kenji Yamanishi
+ Takefumi Yamazaki
+ Holly Yanco
+ John M. Zelle
- Thomas Zeugmann
+ Jean-Daniel Zucker
+ Darko Zupanic
